hour,speed_kph_mean
0.0,42.76221383648098
1.0,42.80149378234191
2.0,43.531764182832404
3.0,45.377946310328
4.0,47.523496860168116
5.0,47.16141315023799
6.0,45.34736259318832
7.0,40.601041278602025
8.0,37.31660495979357
9.0,37.997173455306736
10.0,40.29879093119686
11.0,40.76325724919617
12.0,40.093306014691855
13.0,39.92788620747116
14.0,38.41981372311169
15.0,36.662583759216076
16.0,35.88148280528811
17.0,36.43504352165572
18.0,37.21445178045495
19.0,38.830779552291986
20.0,40.65626657293827
21.0,41.76907097837739
22.0,41.75303920446953
23.0,42.308416065115324
