hour,speed_kph_mean
0.0,42.35938580462357
1.0,42.17469461629629
2.0,42.90568538664956
3.0,43.67021905128529
4.0,44.34602628403168
5.0,44.74787304668338
6.0,45.46899853534643
7.0,45.795704026160394
8.0,45.95646154625039
9.0,44.74567345396559
10.0,43.36875122901297
11.0,42.11270893191184
12.0,41.41522005069208
13.0,40.46865852799456
14.0,39.47896198899872
15.0,39.62857209713993
16.0,39.65981047185662
17.0,38.50755409912049
18.0,38.758754249016214
19.0,40.015431510102815
20.0,41.30013392911969
21.0,41.6298049946354
22.0,41.733276420443524
23.0,42.46906615277638
